DATE,T_MAX_RUS,T_MIN_RUS,T_AVG_RUS,RH_RUS,WND_RUS,PRCP_RUS,ONI
2009-06-15,18.066666666666663,8.433333333333334,11.166666666666666,84.60000000000001,14.733333333333334,6.966666666666666,0.28
2009-06-16,11.9,5.966666666666666,8.833333333333334,84.06666666666668,14.133333333333333,2.033333333333333,0.28
2009-06-17,14.966666666666669,6.866666666666667,11.033333333333331,76.5,13.533333333333331,1.3333333333333333,0.28
2009-06-18,16.966666666666665,4.666666666666667,10.3,80.46666666666667,16.666666666666668,8.0,0.28
2009-06-19,12.666666666666666,6.533333333333334,10.233333333333334,79.13333333333334,19.066666666666663,19.0,0.28
2009-06-20,14.7,8.633333333333333,11.733333333333334,76.96666666666667,13.966666666666669,4.0,0.28
2009-06-21,18.433333333333334,7.966666666666666,14.1,76.56666666666666,11.1,0.0,0.28
2009-06-22,22.23333333333333,11.333333333333334,16.566666666666666,70.13333333333334,5.733333333333333,2.8000000000000003,0.28
2009-06-23,20.666666666666668,11.4,15.733333333333334,70.2,8.299999999999999,2.533333333333333,0.28
2009-06-24,23.4,10.933333333333332,17.066666666666666,68.3,10.5,1.5,0.28
2009-06-25,21.6,13.433333333333332,17.366666666666664,68.53333333333333,9.333333333333334,2.6666666666666665,0.28
2009-06-26,20.03333333333333,11.266666666666666,15.666666666666666,71.0,10.066666666666668,0.3999999999999999,0.28
2009-06-27,17.7,11.5,14.266666666666666,82.8,13.366666666666667,7.0,0.28
2009-06-28,16.866666666666667,10.466666666666669,13.033333333333331,87.39999999999999,16.533333333333335,0.5666666666666667,0.28
2009-06-29,19.366666666666667,10.133333333333333,14.8,84.39999999999999,11.666666666666666,12.666666666666666,0.28
2009-06-30,21.53333333333333,12.0,17.3,73.56666666666666,16.966666666666665,3.4333333333333336,0.28
2009-07-01,16.733333333333334,10.033333333333331,13.5,79.7,8.266666666666667,2.6666666666666665,0.45
2009-07-02,18.2,10.0,14.666666666666666,70.13333333333333,10.366666666666667,1.5333333333333332,0.45
2009-07-03,18.966666666666665,11.733333333333334,15.033333333333331,79.93333333333334,9.5,3.6666666666666665,0.45
2009-07-04,21.066666666666663,12.866666666666667,17.266666666666666,74.86666666666666,10.533333333333331,0.3333333333333333,0.45
2009-07-05,24.8,12.933333333333332,18.23333333333333,77.33333333333333,10.1,0.5333333333333333,0.45
2009-07-06,23.7,13.433333333333332,18.8,73.2,11.566666666666668,0.6666666666666666,0.45
2009-07-07,23.766666666666666,13.2,18.83333333333333,73.10000000000001,8.866666666666667,8.533333333333333,0.45
2009-07-08,23.46666666666667,12.466666666666669,18.1,74.63333333333334,8.299999999999999,0.4333333333333333,0.45
2009-07-09,25.53333333333333,12.7,19.166666666666668,68.0,10.833333333333334,0.1666666666666666,0.45
2009-07-10,25.133333333333336,14.1,19.2,70.73333333333333,13.666666666666666,1.2,0.45
